,Population,Region,Region2,Region3,DenID,unpublished.vs.published,unpublished.vs.published2,Estimation_Method,Study,Date_median,Date_lowerrange,Date_upperrange,Lat,Long,Lat_lowerrange,Lat_upperrange,DOY,DOY_lowerrange,DOY_upperrange,Originaldataset
147,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-37,unpublished,21,GPS,,4/14/06,,,55.8598838,-112.96679,,,165,,,yes
148,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-38,unpublished,21,GPS,,5/8/04,,,63.6352304,-150.48638,,,189,,,yes
149,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-39,unpublished,21,GPS,,4/5/05,,,63.6352304,-150.48638,,,157,,,yes
150,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-39,unpublished,21,GPS,,5/10/06,,,63.6352304,-150.48638,,,191,,,yes
151,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-39,unpublished,21,GPS,,5/18/07,,,63.6352304,-150.48638,,,199,,,yes
152,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-39,unpublished,21,GPS,,5/4/10,,,63.6352304,-150.48638,,,185,,,yes
153,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-39,unpublished,21,GPS,,4/14/13,,,63.6352304,-150.48638,,,166,,,yes
154,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-39,unpublished,21,GPS,,5/2/14,,,63.6352304,-150.48638,,,183,,,yes
155,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-39,unpublished,21,GPS,,5/14/15,,,63.6352304,-150.48638,,,195,,,yes
156,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-39,unpublished,21,GPS,,5/17/16,,,63.6352304,-150.48638,,,198,,,yes
157,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-40,unpublished,21,GPS,,4/17/07,,,63.6352304,-150.48638,,,168,,,yes
158,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-41,unpublished,21,GPS,,5/13/05,,,63.6352304,-150.48638,,,195,,,yes
159,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-41,unpublished,21,GPS,,5/14/06,,,63.6352304,-150.48638,,,195,,,yes
160,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-42,unpublished,21,GPS,,5/4/16,,,63.6352304,-150.48638,,,185,,,yes
161,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-43,unpublished,21,GPS,,5/8/14,,,63.6352304,-150.48638,,,189,,,yes
162,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-44,unpublished,21,GPS,,5/17/04,,,63.6352304,-150.48638,,,198,,,yes
163,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-44,unpublished,21,GPS,,5/8/08,,,63.6352304,-150.48638,,,189,,,yes
